trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
283,False,"{'a': 0.7, 'e': 0.4339999999999995}",30,0,2.407696312117972,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
284,False,"{'a': 0.7, 'e': 0.4319999999999995}",25,0,-117.79803348959369,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
285,False,"{'a': 0.7, 'e': 0.4299999999999995}",20,0,6.483012069823718,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
286,False,"{'a': 0.7, 'e': 0.4279999999999995}",35,0,-55.93473693909752,"{0: 28, 1: 2, 2: 4, 3: 0, 4: 1}",0
287,False,"{'a': 0.7, 'e': 0.4259999999999995}",20,1,-62.17614305229751,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
288,False,"{'a': 0.7, 'e': 0.4239999999999995}",20,1,-61.96521415175214,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
289,False,"{'a': 0.7, 'e': 0.4219999999999995}",20,14,-15.364667935921256,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
290,False,"{'a': 0.7, 'e': 0.4199999999999995}",20,5,10.050710805910963,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,False,"{'a': 0.7, 'e': 0.4179999999999995}",25,16,5.023269869572144,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
292,False,"{'a': 0.7, 'e': 0.4159999999999995}",25,0,-112.41887761189382,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
293,False,"{'a': 0.7, 'e': 0.4139999999999995}",25,0,17.394186218639177,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
294,False,"{'a': 0.7, 'e': 0.4119999999999995}",30,21,14.69304797978676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,False,"{'a': 0.7, 'e': 0.4099999999999995}",25,3,-55.240488892997774,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
296,False,"{'a': 0.7, 'e': 0.4079999999999995}",20,0,-45.35726537319054,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
297,False,"{'a': 0.7, 'e': 0.4059999999999995}",30,10,-50.76278780584895,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
298,False,"{'a': 0.7, 'e': 0.40399999999999947}",30,7,43.87922358234373,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.7, 'e': 0.40199999999999947}",20,9,-9.005827446795735,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
300,False,"{'a': 0.7, 'e': 0.39999999999999947}",20,2,28.729000504502338,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.7, 'e': 0.39799999999999947}",25,10,-29.284034957813816,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
302,False,"{'a': 0.7, 'e': 0.39599999999999946}",30,17,12.898462698552901,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
303,False,"{'a': 0.7, 'e': 0.39399999999999946}",30,0,11.183246829123181,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
304,False,"{'a': 0.7, 'e': 0.39199999999999946}",30,0,-61.88891733401448,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
305,False,"{'a': 0.7, 'e': 0.38999999999999946}",20,0,-27.737115564145356,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
306,False,"{'a': 0.7, 'e': 0.38799999999999946}",20,0,-38.55736596613966,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
307,False,"{'a': 0.7, 'e': 0.38599999999999945}",25,11,-21.965647877030012,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
308,False,"{'a': 0.7, 'e': 0.38399999999999945}",20,8,-40.971015148906574,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
309,False,"{'a': 0.7, 'e': 0.38199999999999945}",20,11,-41.25469165368722,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
310,False,"{'a': 0.7, 'e': 0.37999999999999945}",20,0,21.678799144771045,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
311,False,"{'a': 0.7, 'e': 0.37799999999999945}",20,12,14.388810837910075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.7, 'e': 0.37599999999999945}",20,6,24.488957390297944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.7, 'e': 0.37399999999999944}",25,0,-58.614817686530685,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
314,False,"{'a': 0.7, 'e': 0.37199999999999944}",30,0,-0.9420505961501526,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
